#name,region,country,lat,lon,location_type,conflict_date,population
Leoben,Styria,Austria,47.3805128,15.0947756,,,24645
Voitsberg,Styria,Austria,47.0504742,15.1474771,,,0
Köflach,Styria,Austria,47.0644882,15.0850032,,,4856
Gleisdorf,Styria,Austria,47.1067722,15.7058606,,,5224
Frohnleiten,Styria,Austria,47.2715315,15.3260206,,,6655
Bruck an der Mur,Styria,Austria,47.4121987,15.2721668,,,9748
Kapfenberg,Styria,Austria,47.4405481,15.2901669,,,23004
Judenburg,Styria,Austria,47.1694082,14.6601079,,,9514
Zeltweg,Styria,Austria,47.1912045,14.7549244,,,7327
Knittelfeld,Styria,Austria,47.2134435,14.832071,,,0
Hartberg,Styria,Austria,47.2809371,15.9691769,,,3920
Weiz,Styria,Austria,47.2174206,15.6221694,,,8799
Trofaiach,Styria,Austria,47.4251065,15.0065515,,,8385
Gratwein-Straßengel,Styria,Austria,47.1231264,15.3304611,,,13000
Graz,Styria,Austria,47.0708678,15.4382786,,,286292
